input_company,input_website,matched,confidence,matched_company,matched_domain
Acorn Law P.C.,https://https//acornlawpc.com/,true,0.8000,Acorn Law,acornlawpc.com
Advance Net Support,,true,0.5167,Advance Network Support,advancenetsupport.com
Aroostook,,true,0.5500,Aroostooktechnologies,aroostooktechnologies.com
&AWL,awlsnap.com,true,0.7500,Awl Snap Leather Goods,awlsnap.com
RyanLBatesDDS,google.com,false,0.0000,,
Cadott Family Restaurant Limited,google.com,true,0.7056,Cadott Family Restaurant,cadottfamilyrestaurant.com
Denham's Florist Inc,http://dreamservicesoftware.com,true,0.7037,Denham&#039;s Florist,denhamsflorist.com
Garrett-Wietholter-State-Farm-Agent,google.com,true,0.6885,IN Auto & Home Insurance Agent Garrett Wietholter - State Farm®,garrettwietholter.com
GSS,,false,0.0000,,
Hueboost Services //,,true,0.3020,Bury Services,buryservices.com
American Inns of Court Company,innsc.com,true,0.5035,Index of /,aristacons.com
JETT Business Technology LTD,https://www.google.com/,true,0.7500,JETT Business Technology,jettbt.com
NCCA Inc.,,true,0.4000,NCCA,ncca-inc.com
NY AL Elevator,elevator.io,true,0.5963,NY / NJ Elevator Co.,nynjelevator.com
Arnby,arnby.com,true,0.8000,"""arnby.com""",arnby.com
NY Staffing LLC.,nyexecstaffing.com,true,0.4885,Roush Detailing LLC,roushdetailingllc.com
Puppet Heap USA,puppet.io,true,0.6283,"Puppet Heap, LLC",puppetheap.com
SafetyChain Software Services Pty. Ltd.,https://safetychain.com/about-us,true,0.8000,SafetyChain Software,safetychain.com
SBS*,http://sbstransportllc.com/index.html?lang=en,true,0.7500,SBS Transport,sbstransportllc.com
SteppIR Tree Services,steppir.com,true,0.5667,Home,steppir.com
Templo Ebenezer Weslaco Holding,,false,0.0000,,
The Greenwich Cincinnati,,true,0.3000,welcome,the-greenwich.com
Inc. Mercury,,false,0.2600,,
Total Seal Inc.,,true,0.3397,Total Seal® Piston Rings,totalseal.com
True Audio Services,trueaudio.com,true,0.9111,Trueaudio,trueaudio.com
ViruStar LLC.,viru.com,true,0.4754,Ravenshire LLC,ravenshire-llc.com
W. Works Holding(s),wworks.net,true,0.5190,Wombat Works,wombatworks.org
Forge Marketing & Management Pty.,,false,0.2783,,
A W Brueggemann Co.,awbrueggemann.com,true,0.7716,A.W. Brueggemann Co,awbrueggemann.com
Blue Ridge Chair - Limited,https://www.blueridgechair.com,true,0.7551,Blue Ridge Chair Works,blueridgechair.com
Cedar Work Inc.,cedarwork.org,true,0.7611,Cedarwork,cedarwork.org
Inc.,,true,0.3500,Kikimo Inc,kikimo.com
..,steppir.com,true,0.4500,Home,steppir.com
